element,Z,series,sqrt_freq,wavelength,year
Al,13,Kα,5.95,8.468,1913
Al,13,Kβ,6.48,7.144,1913
Si,14,Kα,6.45,7.216,1913
Si,14,Kβ,7.02,6.088,1913
P,15,Kα,6.94,6.222,1913
P,15,Kβ,7.56,5.249,1913
S,16,Kα,7.44,5.42,1913
S,16,Kβ,8.1,4.572,1913
Cl,17,Kα,7.94,4.763,1913
Cl,17,Kβ,8.64,4.019,1913
Ar,18,Kα,8.43,4.219,1913
Ar,18,Kβ,9.18,3.56,1913
K,19,Kα,8.93,3.764,1913
K,19,Kβ,9.72,3.175,1913
Ca,20,Kα,9.42,3.378,1913
Ca,20,Kβ,10.26,2.85,1913
Sc,21,Kα,9.92,3.049,1913
Sc,21,Kβ,10.8,2.572,1913
Ti,22,Kα,10.42,2.765,1913
Ti,22,Kβ,11.34,2.333,1913
V,23,Kα,10.91,2.519,1913
V,23,Kβ,11.88,2.126,1913
Cr,24,Kα,11.41,2.305,1913
Cr,24,Kβ,12.42,1.945,1913
Mn,25,Kα,11.9,2.117,1913
Mn,25,Kβ,12.96,1.786,1913
Fe,26,Kα,12.4,1.951,1913
Fe,26,Kβ,13.5,1.646,1913
Co,27,Kα,12.9,1.804,1913
Co,27,Kβ,14.04,1.522,1913
Ni,28,Kα,13.39,1.673,1913
Ni,28,Kβ,14.58,1.411,1913
Cu,29,Kα,13.89,1.555,1913
Cu,29,Kβ,15.12,1.312,1913
Zn,30,Kα,14.38,1.45,1913
Zn,30,Kβ,15.66,1.223,1913
Nd,60,Lα,9.01,3.695,1914
Pm,61,Lα,9.18,3.56,1914
Sm,62,Lα,9.35,3.432,1914
Eu,63,Lα,9.52,3.31,1914
Gd,64,Lα,9.69,3.195,1914
Tb,65,Lα,9.86,3.086,1914
Dy,66,Lα,10.03,2.982,1914
Ho,67,Lα,10.2,2.884,1914
Er,68,Lα,10.37,2.79,1914
Tm,69,Lα,10.54,2.7,1914
Yb,70,Lα,10.71,2.615,1914
Lu,71,Lα,10.88,2.534,1914
Hf,72,Lα,11.05,2.457,1914
Ta,73,Lα,11.22,2.383,1914
W,74,Lα,11.39,2.312,1914
Re,75,Lα,11.56,2.245,1914
Os,76,Lα,11.73,2.18,1914
Ir,77,Lα,11.9,2.118,1914
Pt,78,Lα,12.07,2.059,1914
Au,79,Lα,12.24,2.002,1914
