year,school.ownership,cost.tuition.in_state,cost.roomboard.oncampus,cost.booksupply,cost.otherexpense.oncampus,Institution Type
2017.0,1,5394.028645833333,9066.333333333334,1385.4289439374186,3260.0449735449733,Public
2017.0,2,29959.35,10703.112570356472,1255.1969439728352,2884.385767790262,Private Nonprofit
2017.0,3,17147.326923076922,11462.0,1547.326923076923,2994.4285714285716,Private For-Profit
2018.0,1,5527.34765625,9305.896103896104,1402.3067885117493,3297.5064935064934,Public
2018.0,2,30806.685,11028.282527881041,1242.3720538720538,2918.2393320964748,Private Nonprofit
2018.0,3,16850.826923076922,11823.714285714286,1478.78,3273.5714285714284,Private For-Profit
2019.0,1,5648.479166666667,9529.638242894056,1414.0299869621904,3421.3669250645994,Public
2019.0,2,31676.47491638796,11320.536585365853,1219.4542372881356,2990.441947565543,Private Nonprofit
2019.0,3,16915.96153846154,12653.0,1552.125,3430.714285714286,Private For-Profit
2020.0,1,5718.9765625,9772.149484536083,1343.0391644908616,3478.381443298969,Public
2020.0,2,32291.838333333333,11570.382739212007,1172.8699324324325,2986.936329588015,Private Nonprofit
2020.0,3,17381.85185185185,13014.714285714286,1464.56,3223.8571428571427,Private For-Profit
2021.0,1,5815.313802083333,9976.91002570694,1321.8198433420366,3540.210796915167,Public
2021.0,2,32810.003333333334,11893.706214689266,1169.1773648648648,3078.813909774436,Private Nonprofit
2021.0,3,17591.14814814815,13527.857142857143,1445.7450980392157,3039.1428571428573,Private For-Profit
