year,school.ownership,cost.attendance.academic_year,cost.avg_net_price.public,cost.avg_net_price.private,Institution Type,Net Price,Sticker Price,Average Aid
2017.0,1,15716.917754569191,9941.149253731342,8687.0,Public,9941.149253731342,15716.917754569191,5775.7685008378485
2017.0,2,42556.48192771084,13711.0,23052.82857142857,Private Nonprofit,23052.82857142857,42556.48192771084,19503.65335628227
2017.0,3,28523.375,,16786.753205128207,Private For-Profit,16786.753205128207,28523.375,11736.621794871793
2018.0,1,16070.480417754568,9819.692786069652,7274.0,Public,9819.692786069652,16070.480417754568,6250.787631684916
2018.0,2,43835.49310344827,,23079.81680672269,Private Nonprofit,23079.81680672269,43835.49310344827,20755.67629672558
2018.0,3,29267.06,,17119.4089456869,Private For-Profit,17119.4089456869,29267.06,12147.6510543131
2019.0,1,16430.61668839635,9780.63399503722,,Public,9780.63399503722,16430.61668839635,6649.9826933591285
2019.0,2,45190.255244755244,,23292.683134582625,Private Nonprofit,23292.683134582625,45190.255244755244,21897.57211017262
2019.0,3,29292.041666666668,,17279.067524115755,Private For-Profit,17279.067524115755,29292.041666666668,12012.974142550913
2020.0,1,16910.365058670144,10032.822800495664,,Public,10032.822800495664,16910.365058670144,6877.542258174481
2020.0,2,46624.52196836555,,23770.505136986303,Private Nonprofit,23770.505136986303,46624.52196836555,22854.01683137925
2020.0,3,29466.918367346938,,17721.733974358973,Private For-Profit,17721.733974358973,29466.918367346938,11745.184392987965
2021.0,1,16938.86684073107,9790.019875776397,,Public,9790.019875776397,16938.86684073107,7148.846964954671
2021.0,2,46370.26398601398,,22938.6933560477,Private Nonprofit,22938.6933560477,46370.26398601398,23431.57062996628
2021.0,3,30123.36,,18560.1,Private For-Profit,18560.1,30123.36,11563.260000000002
