year,Institution Type,Tuition
2017.0,Public In-State,5394.028645833333
2018.0,Public In-State,5527.34765625
2019.0,Public In-State,5648.479166666667
2020.0,Public In-State,5718.9765625
2021.0,Public In-State,5815.313802083333
2017.0,Public Out-of-State,12403.720052083334
2018.0,Public Out-of-State,12604.151041666666
2019.0,Public Out-of-State,12859.35546875
2020.0,Public Out-of-State,12974.602864583334
2021.0,Public Out-of-State,13147.100260416666
2017.0,Private Nonprofit,29959.35
2017.0,Private For-Profit,17147.326923076922
2018.0,Private Nonprofit,30806.685
2018.0,Private For-Profit,16850.826923076922
2019.0,Private Nonprofit,31676.47491638796
2019.0,Private For-Profit,16915.96153846154
2020.0,Private Nonprofit,32291.838333333333
2020.0,Private For-Profit,17381.85185185185
2021.0,Private Nonprofit,32810.003333333334
2021.0,Private For-Profit,17591.14814814815
